frame__6xKrGNq6Hd8__0010405.jpg,958.3683,201.09503,-614.75323,969.0335,184.90814,-577.2034,976.44415,185.159,-577.37885,983.9845,185.19836,-577.4267,948.90344,184.97032,-573.32056,941.5387,184.83595,-573.13196,934.07587,184.82497,-573.25275,993.4466,200.22873,-375.50714,925.93976,198.85812,-350.47943,973.221,223.26239,-542.3465,942.8081,222.99141,-534.0177,1051.9305,322.40982,-232.80324,877.064,328.69858,-256.52155,1161.9435,413.2284,-203.29097,780.0929,416.90393,-242.28601,1092.524,500.29208,-359.35776,862.23883,521.33234,-399.85324,1077.133,523.72015,-430.44052,885.10254,543.39374,-476.31522,1059.601,514.4496,-447.97232,893.9229,522.48566,-489.36246,1063.4651,509.3721,-369.979,885.6437,516.7245,-410.10287,1027.2474,598.40936,-1.3140808,924.819,603.7973,2.0341852,1050.9004,805.50397,37.436455,906.7091,810.9186,70.96009,1082.221,971.8831,380.29968,888.01624,969.1528,447.09964,1086.3636,989.107,403.07657,888.7488,987.7139,471.57272,1060.8168,1044.1372,160.03275,883.14905,1038.6113,240.64053
Screenshot_2021-02-11 at 15.22.54.png,154.01031,146.82536,-47.71822,159.1379,141.08539,-29.77001,161.96527,141.48412,-29.720182,164.8848,141.84653,-29.725393,150.33951,140.48044,-32.530792,147.40869,140.23146,-32.574444,144.45862,140.07544,-32.682537,168.66629,148.24966,64.59873,139.71658,145.7013,51.979115,158.67741,157.40126,-13.324592,148.07228,156.31204,-17.096659,188.97295,195.14587,56.73351,114.31599,188.9692,26.356028,208.5767,186.88959,-141.92413,112.7084,186.85352,-146.53069,150.8713,179.30542,-313.08887,176.78336,179.98753,-256.00565,136.19197,182.16379,-355.52014,193.54794,183.35269,-290.84186,132.44458,180.76439,-342.40625,195.68027,180.56189,-285.61343,138.33432,181.90022,-315.2788,188.87317,181.60434,-256.48978,175.8793,324.70697,4.774404,124.72955,323.96182,-4.9129987,188.37868,432.13873,-16.98369,113.51266,431.2215,-45.129677,204.02664,532.4027,56.472775,109.76952,534.86365,40.21579,200.85544,546.076,56.33606,114.99171,548.31946,41.207565,213.66103,561.2346,-63.520847,94.381165,568.48944,-77.74985
frame__p2Dg4UYYOSE__0006182.jpg,976.67224,232.66812,-820.98035,985.7063,214.93864,-785.5197,993.01746,214.30344,-785.3998,1000.5139,213.5403,-785.2591,963.3767,216.53249,-789.76044,955.53973,216.88654,-789.5902,947.6958,217.37349,-789.4864,1010.2104,223.58377,-551.9154,938.18713,228.18074,-557.4978,991.6712,251.7534,-732.547,963.96643,253.46512,-734.6847,1063.8011,340.72726,-338.48666,892.15656,333.2878,-365.13474,1079.1089,471.25656,-236.91113,873.60345,461.89972,-221.52954,1088.5186,594.1404,-421.17075,861.12897,586.5355,-341.32117,1097.9634,624.58856,-465.67764,854.4152,617.8584,-360.17276,1095.3635,629.6715,-538.242,854.32135,624.8914,-442.33627,1086.0719,619.42365,-455.1131,867.09906,614.19025,-375.32346,1027.4324,562.68823,15.047344,926.588,559.93384,-15.045651,1014.03296,767.4731,16.55508,940.5062,760.3615,6.4921083,998.52057,912.9246,386.9992,942.5806,919.6738,337.61896,991.82056,928.1459,408.1064,945.54816,941.41473,356.25024,994.4512,982.37164,162.70053,943.21277,983.0106,92.830185
frame__c-5WsFKlKDk__0002122.jpg,1100.9136,306.97632,-403.52115,1104.9884,297.66653,-350.4086,1110.0822,298.16907,-350.20914,1115.4624,298.64383,-350.29068,1087.971,298.64362,-382.19696,1081.0797,299.46118,-382.02094,1074.3556,300.65836,-382.1695,1119.4028,316.3484,-116.40334,1064.4658,318.90677,-274.01065,1112.9153,328.7979,-320.6337,1090.077,329.94366,-365.20206,1149.0192,401.55707,42.89992,1039.3309,398.82172,-354.89328,1190.5626,289.8499,118.99307,1058.0447,298.9353,-582.7808,1218.4617,173.74016,-6.2427316,1069.5219,151.75604,-732.0106,1228.4232,151.24022,-50.163742,1069.0729,117.49414,-825.1439,1217.3926,143.6966,-64.29182,1069.7725,114.29693,-812.05585,1212.8257,150.33336,-26.617691,1072.0319,125.48515,-737.4684,1115.5327,633.82043,148.6447,1051.2671,629.0503,-148.2424,1097.5936,814.286,249.74353,1038.1212,818.4185,-186.54091,1095.3431,966.6977,496.16376,1015.051,982.985,-5.6892815,1083.3646,998.39813,510.09137,998.45996,1008.1672,1.0918119,1163.5918,1001.17694,351.66653,1056.0974,1041.6881,-217.10349
Screenshot_2021-02-11 at 14.45.40.png,475.67188,89.63707,-287.58224,481.60745,81.06653,-262.96625,486.33105,81.373634,-263.00098,491.11835,81.58516,-263.0508,466.94626,81.04758,-267.84232,461.62833,81.22392,-267.863,456.3154,81.46803,-267.889,495.3977,92.18634,-123.36563,447.7065,92.20287,-147.47357,483.8771,106.0487,-237.33351,465.13965,105.91492,-244.26851,532.14764,170.7454,-48.360004,408.82153,171.47012,-61.15244,588.247,236.17636,-166.24445,373.72137,252.52972,-157.28032,575.6941,160.49147,-405.69003,376.15976,189.81834,-390.88245,577.1798,138.52403,-459.5827,380.10657,174.40173,-435.81378,568.8951,131.61096,-450.89084,378.30466,158.81792,-443.3302,563.8518,140.40434,-410.86206,382.28436,165.91614,-397.90125,509.83914,338.4631,3.8270388,435.27112,339.10083,-3.6954877,540.3315,473.9619,-49.63011,418.77963,473.18542,-33.304535,542.04395,604.39124,101.86375,412.05856,596.71606,101.9476,532.34924,623.71515,108.227295,419.91428,616.6112,106.67337,565.99084,645.12524,-34.387955,384.99573,634.90173,-38.656048
frame__lFy8a46jkcA__0001650.jpg,908.973,328.8612,-436.25986,919.11835,314.4967,-405.69733,925.0238,314.80923,-405.47375,930.99445,315.04883,-405.427,901.44745,313.4404,-411.1906,895.2653,312.6353,-411.05957,889.058,311.999,-411.10852,937.3301,320.9823,-204.6343,879.37726,316.2885,-225.21123,917.75604,343.98813,-360.27496,896.8185,342.17587,-366.16916,968.9766,387.4766,-117.97761,839.742,391.27725,-138.86542,984.6018,466.86322,-422.17413,850.9712,483.30746,-406.71176,934.2115,386.67242,-780.63837,887.72394,405.20065,-712.5238,925.34155,367.00784,-860.3385,896.30096,386.15436,-785.41315,923.7834,357.3202,-838.7176,892.3316,377.1098,-769.24286,921.264,365.84204,-780.4662,895.11426,384.48535,-711.89154,955.47174,595.36505,8.65459,873.438,599.5942,-8.633232,991.6796,734.26764,56.417736,836.9151,733.968,83.01022,1022.74316,846.5162,411.69797,802.49176,845.957,457.7455,1017.1757,863.8935,436.7366,805.8366,861.5855,482.90738,1050.5836,895.6663,240.27757,786.2685,902.9677,286.82706
Screenshot_2021-02-11 at 15.27.49.png,668.76245,131.77808,-104.645836,675.43256,120.356544,-86.148834,680.1871,120.15545,-86.10829,685.01013,119.883514,-86.191696,661.73395,121.08045,-87.19057,656.93335,121.26111,-87.166405,652.14734,121.49079,-87.28531,691.4559,126.30826,33.873917,646.9842,128.22084,30.216087,678.4015,144.32437,-60.39314,660.7388,145.13747,-61.46973,722.3959,196.21788,101.21868,620.84106,193.63701,104.00235,762.1603,266.7838,-34.829414,600.14264,265.03415,-19.349579,776.31836,202.001,-314.3509,580.56274,205.37779,-303.61624,784.1764,187.2385,-365.58917,574.02026,193.16327,-354.46542,780.5435,175.01701,-368.07663,576.42163,177.61238,-361.4506,773.69006,180.70279,-322.41058,582.85706,183.32549,-312.896,705.67554,357.1845,-0.55120426,642.1796,357.11823,0.8339456,729.1729,488.59332,-49.808273,631.9158,492.4835,-48.733253,739.8892,625.4208,32.648735,619.53046,626.4078,17.435894,734.1465,643.83606,32.00084,622.05194,644.7655,14.01204,754.369,662.5656,-107.305725,612.338,663.005,-126.92399
Screenshot_2021-02-11 at 14.42.09.png,412.1951,99.79649,-246.96162,420.97256,88.54078,-225.17587,425.67633,88.80622,-225.04106,430.47217,89.018486,-225.05362,407.48334,87.79067,-223.73235,402.97897,87.29808,-223.65239,398.43317,86.91302,-223.64813,437.89972,95.71098,-90.114204,394.5856,92.42345,-81.36672,421.04236,112.90912,-198.02748,404.18427,111.71266,-195.57487,469.90268,164.49258,-30.700806,361.86386,164.40984,0.049124815,471.68808,236.33224,-204.84677,356.3501,247.16576,-141.38258,463.79855,172.30688,-474.65768,356.27417,171.87457,-397.55664,466.49734,152.97348,-535.3837,358.01703,150.06792,-448.76584,465.76492,145.90314,-525.63684,352.71365,140.03212,-447.52182,460.2848,150.80647,-478.02936,357.16846,146.58249,-402.58054,452.02002,331.78168,-2.6973453,387.6363,331.21957,2.6946473,461.5212,466.9572,-9.819952,391.2488,460.95825,9.811691,465.63312,568.3799,226.58575,389.55795,562.135,238.72722,459.89188,576.62726,243.18672,391.80426,570.52057,253.67798,472.06967,621.20483,94.78552,394.02823,616.91406,104.075836
frame__YArvGEk8c6c__0007130.jpg,943.8887,216.08116,-283.10828,952.70465,201.43019,-247.31297,958.689,202.0097,-247.23541,964.8894,202.55713,-247.35983,934.0227,199.90518,-258.94128,927.3404,199.0142,-258.83887,920.70184,198.30783,-259.1886,968.56647,210.89192,-61.966503,908.3194,206.00888,-123.826515,951.4176,236.54881,-214.18208,929.71625,234.48773,-230.89128,1004.81586,307.04352,-64.40076,855.02185,284.9793,-274.61868,1075.8699,278.1012,-460.03995,899.2922,233.05437,-743.7364,1139.169,178.70497,-834.60046,966.7304,132.92606,-996.73517,1166.185,150.56949,-935.4648,984.34845,114.48503,-1106.5885,1155.8235,144.50487,-943.7442,982.7569,106.613914,-1101.7782,1140.8813,157.4955,-859.3609,979.86774,119.73748,-1008.82025,977.25037,573.8312,45.086987,870.3259,577.8307,-44.60707,1015.962,764.66943,-12.385511,838.44824,777.4637,-149.7595,1014.2793,969.39606,129.51447,777.96814,973.4986,1.1627048,997.152,1003.04553,130.22646,770.3041,1001.6462,0.6883916,1043.055,1016.0904,-74.43166,780.25635,1027.7671,-223.55925
Screenshot_2021-02-11_at_16.02.03.png,644.85974,65.018845,-277.26364,652.58545,58.10047,-254.9699,656.9237,58.45941,-254.99559,661.42706,58.71381,-255.02719,638.827,58.06779,-255.08386,634.45166,58.17223,-254.97543,630.09796,58.35131,-254.94293,668.1771,68.47909,-125.69992,624.8166,67.564415,-120.07752,653.3818,80.115105,-228.59866,636.87646,79.70609,-227.28009,703.1006,149.57707,-34.017365,588.75616,146.7447,-29.306746,722.1899,225.107,31.82031,567.9026,222.82858,33.28358,725.59094,299.2116,-126.65005,563.5314,305.602,-109.27363,730.2247,324.77567,-174.76709,556.95856,333.44763,-148.24135,720.5816,323.66583,-217.88098,569.136,334.43744,-196.83652,715.83405,314.52267,-147.47353,576.22595,323.80023,-131.14282,679.4219,309.74707,-1.532888,609.982,311.49472,1.602496,695.51263,446.10068,-39.86439,600.22015,453.31522,-31.748407,706.01184,575.9796,107.64865,593.044,584.0729,114.54083,701.55536,592.9595,112.67357,598.8956,601.72833,119.86634,714.1403,618.1628,-38.07953,577.8936,626.1787,-34.905273
